min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
25,0.25,20,4,30,5,2,2,600,18,7,10,1,38.89,1.84,3.62,5.46,-2.08,17.50,224.00,2.63,0.97
25,0.25,20,4,30,5,2,2,900,18,7,10,1,38.89,1.84,3.62,5.46,-2.08,17.50,224.00,2.63,0.97
25,0.25,20,4,30,5,3,2,600,18,8,10,0,44.44,1.57,2.94,5.34,-2.73,15.50,291.00,1.96,0.86
25,0.25,20,4,30,5,3,2,900,18,8,10,0,44.44,1.57,2.94,5.34,-2.73,15.50,291.00,1.96,0.86
25,0.25,20,4,30,6,2,2,600,19,7,11,1,36.84,1.98,3.94,7.50,-2.41,26.00,244.00,3.11,1.37
25,0.25,20,4,30,6,2,2,900,19,7,11,1,36.84,1.98,3.94,7.50,-2.41,26.00,244.00,3.11,1.37
25,0.25,20,4,30,6,3,2,600,19,8,11,0,42.11,1.60,2.99,7.00,-3.18,21.00,291.00,2.20,1.11
25,0.25,20,4,30,6,3,2,900,19,8,11,0,42.11,1.60,2.99,7.00,-3.18,21.00,291.00,2.20,1.11
25,0.25,20,4,30,7,2,2,600,19,7,11,1,36.84,1.72,3.10,6.50,-2.41,19.00,264.00,2.70,1.00
25,0.25,20,4,30,7,2,2,900,19,7,11,1,36.84,1.72,3.10,6.50,-2.41,19.00,264.00,2.70,1.00
25,0.25,20,4,30,7,3,2,600,19,8,11,0,42.11,1.37,1.99,6.00,-3.18,13.00,291.00,1.89,0.68
25,0.25,20,4,30,7,3,2,900,19,8,11,0,42.11,1.37,1.99,6.00,-3.18,13.00,291.00,1.89,0.68
25,0.25,20,4,30,8,2,2,600,19,6,12,1,31.58,1.44,2.12,6.54,-2.27,12.00,284.00,2.88,0.63
25,0.25,20,4,30,8,2,2,900,19,6,12,1,31.58,1.44,2.12,6.54,-2.27,12.00,284.00,2.88,0.63
25,0.25,20,4,30,8,3,2,600,19,7,12,0,36.84,1.25,1.45,6.39,-2.98,9.00,310.00,2.15,0.47
25,0.25,20,4,30,8,3,2,900,19,7,12,0,36.84,1.25,1.45,6.39,-2.98,9.00,310.00,2.15,0.47
25,0.25,20,4,35,5,2,2,600,18,7,10,1,38.89,1.84,3.62,5.46,-2.08,17.50,224.00,2.63,0.97
25,0.25,20,4,35,5,2,2,900,18,7,10,1,38.89,1.84,3.62,5.46,-2.08,17.50,224.00,2.63,0.97
25,0.25,20,4,35,5,3,2,600,18,8,10,0,44.44,1.57,2.94,5.34,-2.73,15.50,291.00,1.96,0.86
25,0.25,20,4,35,5,3,2,900,18,8,10,0,44.44,1.57,2.94,5.34,-2.73,15.50,291.00,1.96,0.86
25,0.25,20,4,35,6,2,2,600,19,7,11,1,36.84,1.98,3.94,7.50,-2.41,26.00,244.00,3.11,1.37
25,0.25,20,4,35,6,2,2,900,19,7,11,1,36.84,1.98,3.94,7.50,-2.41,26.00,244.00,3.11,1.37
25,0.25,20,4,35,6,3,2,600,19,8,11,0,42.11,1.60,2.99,7.00,-3.18,21.00,291.00,2.20,1.11
25,0.25,20,4,35,6,3,2,900,19,8,11,0,42.11,1.60,2.99,7.00,-3.18,21.00,291.00,2.20,1.11
25,0.25,20,4,35,7,2,2,600,19,7,11,1,36.84,1.72,3.10,6.50,-2.41,19.00,264.00,2.70,1.00
25,0.25,20,4,35,7,2,2,900,19,7,11,1,36.84,1.72,3.10,6.50,-2.41,19.00,264.00,2.70,1.00
25,0.25,20,4,35,7,3,2,600,19,8,11,0,42.11,1.37,1.99,6.00,-3.18,13.00,291.00,1.89,0.68
25,0.25,20,4,35,7,3,2,900,19,8,11,0,42.11,1.37,1.99,6.00,-3.18,13.00,291.00,1.89,0.68
25,0.25,20,4,35,8,2,2,600,19,6,12,1,31.58,1.44,2.12,6.54,-2.27,12.00,284.00,2.88,0.63
25,0.25,20,4,35,8,2,2,900,19,6,12,1,31.58,1.44,2.12,6.54,-2.27,12.00,284.00,2.88,0.63
25,0.25,20,4,35,8,3,2,600,19,7,12,0,36.84,1.25,1.45,6.39,-2.98,9.00,310.00,2.15,0.47
25,0.25,20,4,35,8,3,2,900,19,7,12,0,36.84,1.25,1.45,6.39,-2.98,9.00,310.00,2.15,0.47
30,0.25,20,4,25,5,2,2,600,11,3,8,0,27.27,1.03,0.20,5.42,-1.97,0.50,265.00,2.75,0.05
30,0.25,20,4,25,5,2,2,900,11,3,8,0,27.27,1.03,0.20,5.42,-1.97,0.50,265.00,2.75,0.05
30,0.25,20,4,25,5,3,2,600,11,4,7,0,36.36,0.87,-0.99,4.50,-2.96,-2.75,321.00,1.52,-0.25
30,0.25,20,4,25,5,3,2,900,11,4,7,0,36.36,0.87,-0.99,4.50,-2.96,-2.75,321.00,1.52,-0.25
30,0.25,20,4,25,6,2,2,600,11,3,8,0,27.27,1.13,0.79,6.33,-2.09,2.25,265.00,3.02,0.20
30,0.25,20,4,25,6,2,2,900,11,3,8,0,27.27,1.13,0.79,6.33,-2.09,2.25,265.00,3.02,0.20
30,0.25,20,4,25,6,3,2,600,11,4,7,0,36.36,0.87,-0.96,4.94,-3.25,-3.00,322.00,1.52,-0.27
30,0.25,20,4,25,6,3,2,900,11,4,7,0,36.36,0.87,-0.96,4.94,-3.25,-3.00,322.00,1.52,-0.27
30,0.25,20,4,25,7,2,2,600,11,3,8,0,27.27,0.96,-0.29,5.33,-2.09,-0.75,265.00,2.55,-0.07
30,0.25,20,4,25,7,2,2,900,11,3,8,0,27.27,0.96,-0.29,5.33,-2.09,-0.75,265.00,2.55,-0.07
30,0.25,20,4,25,7,3,2,600,11,3,8,0,27.27,0.70,-2.47,5.33,-2.88,-7.00,362.00,1.86,-0.64
30,0.25,20,4,25,7,3,2,900,11,3,8,0,27.27,0.70,-2.47,5.33,-2.88,-7.00,362.00,1.86,-0.64
30,0.25,20,4,25,8,2,2,600,11,3,8,0,27.27,0.78,-1.63,4.33,-2.09,-3.75,277.00,2.07,-0.34
30,0.25,20,4,25,8,2,2,900,11,3,8,0,27.27,0.78,-1.63,4.33,-2.09,-3.75,277.00,2.07,-0.34
30,0.25,20,4,25,8,3,2,600,11,3,8,0,27.27,0.53,-4.57,4.33,-3.09,-11.75,417.00,1.40,-1.07
30,0.25,20,4,25,8,3,2,900,11,3,8,0,27.27,0.53,-4.57,4.33,-3.09,-11.75,417.00,1.40,-1.07
30,0.25,20,4,30,5,2,2,600,11,3,8,0,27.27,1.03,0.20,5.42,-1.97,0.50,265.00,2.75,0.05
30,0.25,20,4,30,5,2,2,900,11,3,8,0,27.27,1.03,0.20,5.42,-1.97,0.50,265.00,2.75,0.05
30,0.25,20,4,30,5,3,2,600,11,4,7,0,36.36,0.87,-0.99,4.50,-2.96,-2.75,321.00,1.52,-0.25
30,0.25,20,4,30,5,3,2,900,11,4,7,0,36.36,0.87,-0.99,4.50,-2.96,-2.75,321.00,1.52,-0.25
30,0.25,20,4,30,6,2,2,600,11,3,8,0,27.27,1.13,0.79,6.33,-2.09,2.25,265.00,3.02,0.20
30,0.25,20,4,30,6,2,2,900,11,3,8,0,27.27,1.13,0.79,6.33,-2.09,2.25,265.00,3.02,0.20
30,0.25,20,4,30,6,3,2,600,11,4,7,0,36.36,0.87,-0.96,4.94,-3.25,-3.00,322.00,1.52,-0.27
30,0.25,20,4,30,6,3,2,900,11,4,7,0,36.36,0.87,-0.96,4.94,-3.25,-3.00,322.00,1.52,-0.27
30,0.25,20,4,30,7,2,2,600,11,3,8,0,27.27,0.96,-0.29,5.33,-2.09,-0.75,265.00,2.55,-0.07
30,0.25,20,4,30,7,2,2,900,11,3,8,0,27.27,0.96,-0.29,5.33,-2.09,-0.75,265.00,2.55,-0.07
30,0.25,20,4,30,7,3,2,600,11,3,8,0,27.27,0.70,-2.47,5.33,-2.88,-7.00,362.00,1.86,-0.64
30,0.25,20,4,30,7,3,2,900,11,3,8,0,27.27,0.70,-2.47,5.33,-2.88,-7.00,362.00,1.86,-0.64
30,0.25,20,4,30,8,2,2,600,11,3,8,0,27.27,0.78,-1.63,4.33,-2.09,-3.75,277.00,2.07,-0.34
30,0.25,20,4,30,8,2,2,900,11,3,8,0,27.27,0.78,-1.63,4.33,-2.09,-3.75,277.00,2.07,-0.34
30,0.25,20,4,30,8,3,2,600,11,3,8,0,27.27,0.53,-4.57,4.33,-3.09,-11.75,417.00,1.40,-1.07
30,0.25,20,4,30,8,3,2,900,11,3,8,0,27.27,0.53,-4.57,4.33,-3.09,-11.75,417.00,1.40,-1.07
30,0.25,20,4,35,5,2,2,600,11,3,8,0,27.27,1.03,0.20,5.42,-1.97,0.50,265.00,2.75,0.05
30,0.25,20,4,35,5,2,2,900,11,3,8,0,27.27,1.03,0.20,5.42,-1.97,0.50,265.00,2.75,0.05
30,0.25,20,4,35,5,3,2,600,11,4,7,0,36.36,0.87,-0.99,4.50,-2.96,-2.75,321.00,1.52,-0.25
30,0.25,20,4,35,5,3,2,900,11,4,7,0,36.36,0.87,-0.99,4.50,-2.96,-2.75,321.00,1.52,-0.25
30,0.25,20,4,35,6,2,2,600,11,3,8,0,27.27,1.13,0.79,6.33,-2.09,2.25,265.00,3.02,0.20
30,0.25,20,4,35,6,2,2,900,11,3,8,0,27.27,1.13,0.79,6.33,-2.09,2.25,265.00,3.02,0.20
30,0.25,20,4,35,6,3,2,600,11,4,7,0,36.36,0.87,-0.96,4.94,-3.25,-3.00,322.00,1.52,-0.27
30,0.25,20,4,35,6,3,2,900,11,4,7,0,36.36,0.87,-0.96,4.94,-3.25,-3.00,322.00,1.52,-0.27
30,0.25,20,4,35,7,2,2,600,11,3,8,0,27.27,0.96,-0.29,5.33,-2.09,-0.75,265.00,2.55,-0.07
30,0.25,20,4,35,7,2,2,900,11,3,8,0,27.27,0.96,-0.29,5.33,-2.09,-0.75,265.00,2.55,-0.07
30,0.25,20,4,35,7,3,2,600,11,3,8,0,27.27,0.70,-2.47,5.33,-2.88,-7.00,362.00,1.86,-0.64
30,0.25,20,4,35,7,3,2,900,11,3,8,0,27.27,0.70,-2.47,5.33,-2.88,-7.00,362.00,1.86,-0.64
30,0.25,20,4,35,8,2,2,600,11,3,8,0,27.27,0.78,-1.63,4.33,-2.09,-3.75,277.00,2.07,-0.34
30,0.25,20,4,35,8,2,2,900,11,3,8,0,27.27,0.78,-1.63,4.33,-2.09,-3.75,277.00,2.07,-0.34
30,0.25,20,4,35,8,3,2,600,11,3,8,0,27.27,0.53,-4.57,4.33,-3.09,-11.75,417.00,1.40,-1.07
30,0.25,20,4,35,8,3,2,900,11,3,8,0,27.27,0.53,-4.57,4.33,-3.09,-11.75,417.00,1.40,-1.07
35,0.25,20,4,25,5,2,2,600,7,2,5,0,28.57,1.55,2.77,5.62,-1.45,4.00,102.00,3.88,0.57
35,0.25,20,4,25,5,2,2,900,7,2,5,0,28.57,1.55,2.77,5.62,-1.45,4.00,102.00,3.88,0.57
35,0.25,20,4,25,5,3,2,600,7,3,4,0,42.86,1.41,2.35,4.33,-2.31,3.75,118.00,1.87,0.54
35,0.25,20,4,25,5,3,2,900,7,3,4,0,42.86,1.41,2.35,4.33,-2.31,3.75,118.00,1.87,0.54
35,0.25,20,4,25,6,2,2,600,7,2,5,0,28.57,1.82,3.60,7.50,-1.65,6.75,102.00,4.55,0.96
35,0.25,20,4,25,6,2,2,900,7,2,5,0,28.57,1.82,3.60,7.50,-1.65,6.75,102.00,4.55,0.96
35,0.25,20,4,25,6,3,2,600,7,3,4,0,42.86,1.40,2.22,5.25,-2.81,4.50,123.00,1.87,0.64
35,0.25,20,4,25,6,3,2,900,7,3,4,0,42.86,1.40,2.22,5.25,-2.81,4.50,123.00,1.87,0.64
35,0.25,20,4,25,7,2,2,600,7,2,5,0,28.57,1.58,2.83,6.50,-1.65,4.75,102.00,3.94,0.68
35,0.25,20,4,25,7,2,2,900,7,2,5,0,28.57,1.58,2.83,6.50,-1.65,4.75,102.00,3.94,0.68
